task,domain,origin,crisis_overlap,crisis_quarters,seed,generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
conditional,UK,2016Q4,False,0,43,Student-t GIB-VAR,0.315299,0.240311,3.727794,0.116694,0.880952,0.964286,1.820777,2.837444
conditional,UK,2017Q4,True,4,7,Student-t GIB-VAR,1.111378,0.970175,39.130784,1.042549,0.845238,0.952381,2.044185,3.204288
conditional,UK,2017Q4,True,4,19,Student-t GIB-VAR,1.116747,0.974124,39.206634,1.054604,0.845238,0.952381,2.055933,3.156693
conditional,UK,2017Q4,True,4,43,Student-t GIB-VAR,1.111805,0.972495,39.038095,1.046367,0.845238,0.940476,2.104653,3.248183
conditional,UK,2018Q4,True,8,7,Student-t GIB-VAR,1.321565,1.120929,41.172747,1.224562,0.833333,0.952381,2.279161,3.678328
conditional,UK,2018Q4,True,8,19,Student-t GIB-VAR,1.315437,1.123362,40.996595,1.231136,0.857143,0.952381,2.336997,3.764519
conditional,UK,2018Q4,True,8,43,Student-t GIB-VAR,1.322396,1.123887,40.894196,1.228876,0.833333,0.952381,2.289843,3.728242
conditional,UK,2019Q4,True,8,7,Student-t GIB-VAR,1.701627,1.444479,45.008409,1.408298,0.785714,0.869048,2.342145,3.696632
conditional,UK,2019Q4,True,8,19,Student-t GIB-VAR,1.697615,1.443712,44.643599,1.413467,0.785714,0.869048,2.417608,3.812456
conditional,UK,2019Q4,True,8,43,Student-t GIB-VAR,1.687469,1.436179,44.462682,1.408982,0.785714,0.869048,2.411488,3.765477
conditional,UK,2020Q4,True,4,7,Student-t GIB-VAR,1.166990,0.949318,18.496817,0.433623,0.654762,0.797619,2.614581,4.219261
conditional,UK,2020Q4,True,4,19,Student-t GIB-VAR,1.178578,0.962023,19.102849,0.430054,0.666667,0.797619,2.626789,4.233237
conditional,UK,2020Q4,True,4,43,Student-t GIB-VAR,1.175821,0.955444,18.679286,0.424081,0.678571,0.797619,2.646327,4.258808
conditional,UK,2021Q4,False,0,7,Student-t GIB-VAR,0.917815,0.779770,11.737705,0.366936,0.642857,0.678571,2.120613,3.673625
conditional,UK,2021Q4,False,0,19,Student-t GIB-VAR,0.917802,0.780717,11.744294,0.366734,0.642857,0.678571,2.069261,3.510195
conditional,UK,2021Q4,False,0,43,Student-t GIB-VAR,0.923108,0.785336,11.975170,0.368965,0.642857,0.678571,2.054891,3.451615
conditional,UK,2022Q4,False,0,7,Student-t GIB-VAR,0.724889,0.575828,8.916897,0.327752,0.619048,0.797619,2.529506,3.846327
conditional,UK,2022Q4,False,0,19,Student-t GIB-VAR,0.735145,0.577986,9.224943,0.338548,0.571429,0.821429,2.580403,3.876039
conditional,UK,2022Q4,False,0,43,Student-t GIB-VAR,0.754115,0.594339,9.669280,0.349044,0.571429,0.809524,2.542407,3.865067
conditional,UK,2015Q4,False,0,7,Minnesota BVAR,0.503925,0.350386,5.837463,0.166911,0.821429,0.904762,1.936740,3.022083
conditional,UK,2015Q4,False,0,19,Minnesota BVAR,0.507038,0.353286,5.916447,0.167589,0.809524,0.904762,1.932951,3.024681
conditional,UK,2015Q4,False,0,43,Minnesota BVAR,0.509026,0.353938,5.783313,0.168626,0.821429,0.904762,1.953312,3.040085
conditional,UK,2016Q4,False,0,7,Minnesota BVAR,0.402729,0.295831,4.653623,0.133293,0.857143,0.904762,1.967095,3.001757
conditional,UK,2016Q4,False,0,19,Minnesota BVAR,0.400103,0.291746,4.601975,0.134733,0.857143,0.904762,1.910089,2.929903
conditional,UK,2016Q4,False,0,43,Minnesota BVAR,0.405531,0.297126,4.806048,0.134642,0.833333,0.916667,1.942808,2.982405
conditional,UK,2017Q4,True,4,7,Minnesota BVAR,1.179976,1.014146,38.895017,1.094993,0.809524,0.904762,2.109716,3.272677
conditional,UK,2017Q4,True,4,19,Minnesota BVAR,1.182520,1.014905,39.007393,1.098640,0.833333,0.892857,2.091562,3.261351
